config,mode,arch,baseline,metric,n_seeds,baseline_mean,arch_mean,delta_mean,delta_sd,delta_min,delta_max,n_better,sign_consistent,lower_is_better
fld_chmret_leafoff,binary,unet3plus,unet,macro_f1,5,0.8363800000000001,0.83256,-0.0038200000000000235,0.013557728423301597,-0.026900000000000035,0.008099999999999996,3,False,False
fld_chmret_leafoff,binary,unet3plus,unet,mean_iou,5,0.72542,0.72028,-0.005140000000000033,0.018295573235075215,-0.035800000000000054,0.012199999999999989,3,False,False
fld_chmret_leafoff,binary,unet3plus,unet,overall_accuracy,5,0.8661199999999999,0.86188,-0.004239999999999977,0.009856875772779137,-0.020000000000000018,0.006700000000000039,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,iou_WET,5,0.62246,0.61806,-0.004400000000000004,0.026480747723582138,-0.05010000000000003,0.016100000000000003,3,False,False
fld_chmret_leafoff,binary,unet3plus,unet,f1_WET,5,0.76686,0.7629,-0.003960000000000008,0.021150721027898754,-0.04069999999999996,0.011499999999999955,3,False,False
fld_chmret_leafoff,binary,unet3plus,unet,iou_UPL,5,0.82836,0.82248,-0.005879999999999996,0.010843753962535283,-0.021499999999999964,0.008199999999999985,1,False,False
fld_chmret_leafoff,binary,unet3plus,unet,f1_UPL,5,0.9058999999999999,0.9022600000000001,-0.0036399999999999987,0.006523266053136233,-0.0131,0.0046999999999999265,1,False,False
fld_chmret_leafoff,binary,mbfusion,unet,macro_f1,5,0.8363800000000001,0.83546,-0.0009200000000000097,0.011398113879059103,-0.014600000000000057,0.012299999999999978,3,False,False
fld_chmret_leafoff,binary,mbfusion,unet,mean_iou,5,0.72542,0.7248800000000001,-0.0005400000000000072,0.016676120651998198,-0.018900000000000028,0.018199999999999994,3,False,False
fld_chmret_leafoff,binary,mbfusion,unet,overall_accuracy,5,0.8661199999999999,0.86822,0.002100000000000035,0.013159977203627654,-0.014599999999999946,0.017199999999999993,3,False,False
fld_chmret_leafoff,binary,mbfusion,unet,iou_WET,5,0.62246,0.6167999999999999,-0.005659999999999998,0.01937222238154417,-0.032299999999999995,0.02090000000000003,2,False,False
fld_chmret_leafoff,binary,mbfusion,unet,f1_WET,5,0.76686,0.7622,-0.00466000000000002,0.015075907932857652,-0.026000000000000023,0.015499999999999958,2,False,False
fld_chmret_leafoff,binary,mbfusion,unet,iou_UPL,5,0.82836,0.83298,0.004620000000000002,0.01979411528712512,-0.02210000000000001,0.02980000000000005,3,False,False
fld_chmret_leafoff,binary,mbfusion,unet,f1_UPL,5,0.9058999999999999,0.9087599999999998,0.002860000000000018,0.01198970391627752,-0.0131,0.018500000000000072,3,False,False
