config,FSW_iou,FSW_recall,UPL_iou,UPL_recall,macro_f1,mean_iou
fld_nolidar_leafon,--,--,0.817 +/- 0.045 (n=5),0.887 +/- 0.051 (n=5),0.828 +/- 0.034 (n=5),0.713 +/- 0.049 (n=5)
fld_nolidar_leafoff,--,--,0.833 +/- 0.020 (n=5),0.910 +/- 0.026 (n=5),0.837 +/- 0.021 (n=5),0.726 +/- 0.029 (n=5)
fld_chmret_leafon,--,--,0.814 +/- 0.033 (n=5),0.889 +/- 0.047 (n=5),0.823 +/- 0.023 (n=5),0.707 +/- 0.032 (n=5)
fld_chmret_leafoff,--,--,0.828 +/- 0.030 (n=5),0.900 +/- 0.036 (n=5),0.836 +/- 0.022 (n=5),0.725 +/- 0.032 (n=5)
nwi_chmret_leafoff,--,--,0.809 +/- 0.036 (n=5),0.898 +/- 0.035 (n=5),0.811 +/- 0.028 (n=5),0.691 +/- 0.039 (n=5)
nwiextra_chmret_leafoff,--,--,0.799 +/- 0.046 (n=5),0.864 +/- 0.051 (n=5),0.816 +/- 0.034 (n=5),0.696 +/- 0.048 (n=5)
nwifield_chmret_leafoff,--,--,0.828 +/- 0.027 (n=5),0.888 +/- 0.041 (n=5),0.842 +/- 0.019 (n=5),0.733 +/- 0.028 (n=5)
flddeg_chmret_leafoff,--,--,0.827 +/- 0.035 (n=5),0.905 +/- 0.047 (n=5),0.833 +/- 0.025 (n=5),0.721 +/- 0.036 (n=5)
