config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.8051,0.8271999999999999,0.7928,0.6797,0.8313,29,cad2392-dirty,WET,0.6651,0.8178,0.7336,0.5793,2494572
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.8051,0.8271999999999999,0.7928,0.6797,0.8313,29,cad2392-dirty,UPL,0.9205,0.8366,0.8765,0.7802,6287252
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.85,0.85175,0.8482000000000001,0.7447,0.8784,29,cad2392-dirty,WET,0.7781,0.7913,0.7847,0.6456,4221055
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.85,0.85175,0.8482000000000001,0.7447,0.8784,29,cad2392-dirty,UPL,0.9183,0.9122,0.9153,0.8437,10852225
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.8601,0.8664499999999999,0.8544499999999999,0.7597,0.8876,29,cad2392-dirty,WET,0.7771,0.8203,0.7981,0.664,2521084
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.8601,0.8664499999999999,0.8544499999999999,0.7597,0.8876,29,cad2392-dirty,UPL,0.9318,0.9126,0.9221,0.8554,6785028
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.8233,0.8105500000000001,0.8412,0.7073,0.8581,29,cad2392-dirty,WET,0.8064,0.6921,0.7449,0.5935,4511978
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.8233,0.8105500000000001,0.8412,0.7073,0.8581,29,cad2392-dirty,UPL,0.876,0.929,0.9017,0.821,10561302
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.8434,0.8457,0.8412999999999999,0.7357,0.8752,29,cad2392-dirty,WET,0.7651,0.781,0.773,0.6299,3994168
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.8434,0.8457,0.8412999999999999,0.7357,0.8752,29,cad2392-dirty,UPL,0.9175,0.9104,0.9139,0.8415,10685896
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.7854,0.7977000000000001,0.77675,0.6546,0.8185,29,cad2392-dirty,WET,0.6586,0.7495,0.7011,0.5398,2494572
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.7854,0.7977000000000001,0.77675,0.6546,0.8185,29,cad2392-dirty,UPL,0.8949,0.8459,0.8697,0.7694,6287252
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.8305,0.82455,0.83725,0.7176,0.8658,29,cad2392-dirty,WET,0.7768,0.7308,0.7531,0.604,4221055
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.8305,0.82455,0.83725,0.7176,0.8658,29,cad2392-dirty,UPL,0.8977,0.9183,0.9079,0.8313,10852225
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.8437,0.832,0.8584,0.7373,0.8809,29,cad2392-dirty,WET,0.8149,0.7252,0.7675,0.6227,2521084
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.8437,0.832,0.8584,0.7373,0.8809,29,cad2392-dirty,UPL,0.9019,0.9388,0.92,0.8518,6785028
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.7804,0.7746500000000001,0.78745,0.6495,0.8198,29,cad2392-dirty,WET,0.7148,0.6622,0.6875,0.5238,4511978
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.7804,0.7746500000000001,0.78745,0.6495,0.8198,29,cad2392-dirty,UPL,0.8601,0.8871,0.8734,0.7752,10561302
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.8162,0.81625,0.8160499999999999,0.6979,0.8543,29,cad2392-dirty,WET,0.732,0.7328,0.7324,0.5778,3994168
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.8162,0.81625,0.8160499999999999,0.6979,0.8543,29,cad2392-dirty,UPL,0.9001,0.8997,0.8999,0.818,10685896
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.7671,0.79785,0.7563500000000001,0.6286,0.7929,29,cad2392-dirty,WET,0.6005,0.8093,0.6895,0.5261,2494572
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.7671,0.79785,0.7563500000000001,0.6286,0.7929,29,cad2392-dirty,UPL,0.9122,0.7864,0.8447,0.7311,6287252
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.8295,0.8309500000000001,0.8281000000000001,0.7156,0.8619,29,cad2392-dirty,WET,0.7498,0.7606,0.7552,0.6067,4221055
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.8295,0.8309500000000001,0.8281000000000001,0.7156,0.8619,29,cad2392-dirty,UPL,0.9064,0.9013,0.9038,0.8245,10852225
