config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,2,UPL,5,6,slope,6.077863508835435e-05
fld_chmret_leafoff,2,UPL,6,7,hollow,1.9031936972169206e-05
fld_chmret_leafoff,2,UPL,7,8,footslope,3.247513450332917e-05
fld_chmret_leafoff,2,UPL,8,9,valley,2.945976120827254e-05
fld_chmret_leafoff,2,UPL,9,10,pit,5.5961249927349854e-06
fld_chmret_leafoff,2,overall,0,1,flat,5.041396070737392e-05
fld_chmret_leafoff,2,overall,1,2,peak,3.1201011552184355e-06
fld_chmret_leafoff,2,overall,2,3,ridge,1.3580882296082564e-05
fld_chmret_leafoff,2,overall,3,4,shoulder,1.0232366548734717e-05
fld_chmret_leafoff,2,overall,4,5,spur,2.188009057135787e-05
fld_chmret_leafoff,2,overall,5,6,slope,5.7194985856767744e-05
fld_chmret_leafoff,2,overall,6,7,hollow,1.8207587345386855e-05
fld_chmret_leafoff,2,overall,7,8,footslope,3.0361436074599624e-05
fld_chmret_leafoff,2,overall,8,9,valley,2.852521720342338e-05
fld_chmret_leafoff,2,overall,9,10,pit,5.461228283820674e-06
fld_chmret_leafoff,3,WET,0,1,flat,4.525139956967905e-05
fld_chmret_leafoff,3,WET,1,2,peak,6.81456594975316e-06
fld_chmret_leafoff,3,WET,2,3,ridge,1.304519082623301e-05
fld_chmret_leafoff,3,WET,3,4,shoulder,1.5178567082330119e-05
fld_chmret_leafoff,3,WET,4,5,spur,1.883083677967079e-05
fld_chmret_leafoff,3,WET,5,6,slope,5.027504084864631e-05
fld_chmret_leafoff,3,WET,6,7,hollow,2.3326127120526507e-05
fld_chmret_leafoff,3,WET,7,8,footslope,3.09706520056352e-05
fld_chmret_leafoff,3,WET,8,9,valley,3.673278115456924e-05
fld_chmret_leafoff,3,WET,9,10,pit,7.0194828367675655e-06
fld_chmret_leafoff,3,UPL,0,1,flat,4.0595979953650385e-05
fld_chmret_leafoff,3,UPL,1,2,peak,5.672394763678312e-06
fld_chmret_leafoff,3,UPL,2,3,ridge,1.0955163816106506e-05
fld_chmret_leafoff,3,UPL,3,4,shoulder,1.253700156667037e-05
fld_chmret_leafoff,3,UPL,4,5,spur,1.6064415831351653e-05
fld_chmret_leafoff,3,UPL,5,6,slope,4.27432096330449e-05
fld_chmret_leafoff,3,UPL,6,7,hollow,1.9088782210019417e-05
fld_chmret_leafoff,3,UPL,7,8,footslope,2.757335278147366e-05
fld_chmret_leafoff,3,UPL,8,9,valley,3.036682028323412e-05
fld_chmret_leafoff,3,UPL,9,10,pit,6.044997462595347e-06
fld_chmret_leafoff,3,overall,0,1,flat,4.292368976166472e-05
fld_chmret_leafoff,3,overall,1,2,peak,6.2434801293420605e-06
fld_chmret_leafoff,3,overall,2,3,ridge,1.2000176866422407e-05
fld_chmret_leafoff,3,overall,3,4,shoulder,1.3857784324500244e-05
fld_chmret_leafoff,3,overall,4,5,spur,1.744762630551122e-05
fld_chmret_leafoff,3,overall,5,6,slope,4.6509125240845606e-05
fld_chmret_leafoff,3,overall,6,7,hollow,2.1207455574767664e-05
fld_chmret_leafoff,3,overall,7,8,footslope,2.9272003303049132e-05
fld_chmret_leafoff,3,overall,8,9,valley,3.354980071890168e-05
fld_chmret_leafoff,3,overall,9,10,pit,6.532240149681456e-06
fld_chmret_leafoff,4,WET,0,1,flat,4.5758537453366444e-05
fld_chmret_leafoff,4,WET,1,2,peak,3.241588728997158e-06
fld_chmret_leafoff,4,WET,2,3,ridge,1.401022745994851e-05
fld_chmret_leafoff,4,WET,3,4,shoulder,1.2563546988531016e-05
fld_chmret_leafoff,4,WET,4,5,spur,1.8916853150585666e-05
fld_chmret_leafoff,4,WET,5,6,slope,4.2626481445040554e-05
fld_chmret_leafoff,4,WET,6,7,hollow,2.197628236899618e-05
fld_chmret_leafoff,4,WET,7,8,footslope,2.6343826903030276e-05
fld_chmret_leafoff,4,WET,8,9,valley,3.00716874335194e-05
fld_chmret_leafoff,4,WET,9,10,pit,3.6846668081125244e-06
fld_chmret_leafoff,4,UPL,0,1,flat,5.1871338655473664e-05
fld_chmret_leafoff,4,UPL,1,2,peak,4.120443918509409e-06
