,EMW,FSW,SSW,UPL
EMW,478418.2,102095.6,178648.6,238568.0
FSW,29586.4,786660.8,200678.2,712763.6
SSW,121292.0,257874.6,289734.0,152251.4
UPL,170784.8,650650.8,165824.2,8047080.8
