,EMW,FSW,SSW,UPL
EMW,567520.0,72794.8,185616.6,171799.0
FSW,62936.8,1012069.6,188582.6,466100.0
SSW,237814.8,219950.8,276027.2,87359.2
UPL,277710.8,772685.8,70552.0,7913392.0
