,EMW,FSW,SSW,UPL
EMW,521980.0,57074.4,214085.0,204591.0
FSW,35013.0,829852.8,303000.2,561823.0
SSW,154872.4,143424.2,409542.0,113313.4
UPL,158896.0,759218.6,191868.0,7924358.0
