,EMW,FSW,SSW,UPL
EMW,652360.8,42230.0,132162.0,170977.6
FSW,64499.0,983481.2,168993.4,512715.4
SSW,282410.4,163404.8,276474.4,98862.4
UPL,225786.6,718181.2,63442.2,8026930.6
