,EMW,FSW,SSW,UPL
EMW,629939.0,42941.2,149876.0,174974.2
FSW,38380.8,1024796.8,189027.2,477484.2
SSW,147924.2,149909.0,441670.4,81648.4
UPL,235464.8,793210.8,143132.8,7862532.2
