,EMW,FSW,SSW,UPL
EMW,645161.6,24006.2,149179.6,179383.0
FSW,50816.8,904690.4,201254.4,572927.4
SSW,196682.8,127952.4,404335.4,92181.4
UPL,164483.4,691061.6,104665.4,8074130.2
