,EMW,FSW,SSW,UPL
EMW,639769.0,25202.6,163277.4,169481.4
FSW,51301.8,938732.8,211380.6,528273.8
SSW,188083.0,133579.6,406800.0,92689.4
UPL,202994.2,776885.2,144748.6,7909712.6
