config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,FSW,0.6668,0.7578,0.7094,0.5497,883989
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,SSW,0.4506,0.4497,0.4502,0.2905,289442
fld_chm_leafon,fld,chm,leafon,chm_leafon,1,0.6824,0.6919,0.6745,0.5446,0.8415,19,unknown,UPL,0.9432,0.9123,0.9275,0.8648,3881044
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,EMW,0.566,0.5946,0.5799,0.4084,344124
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,FSW,0.6517,0.8419,0.7347,0.5806,1047046
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,SSW,0.462,0.5407,0.4982,0.3318,286541
fld_chm_leafon,fld,chm,leafon,chm_leafon,2,0.6803,0.7103,0.6592,0.5382,0.8263,19,unknown,UPL,0.9572,0.8642,0.9083,0.832,3827313
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,EMW,0.6429,0.7096,0.6746,0.509,361928
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,FSW,0.7258,0.7399,0.7328,0.5783,1012552
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,SSW,0.5344,0.6434,0.5839,0.4123,287888
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,0,0.7294,0.7513,0.7109,0.5905,0.8531,23,unknown,UPL,0.9406,0.9122,0.9262,0.8625,3842656
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,EMW,0.6309,0.5648,0.596,0.4245,450549
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,FSW,0.6864,0.7313,0.7081,0.5481,883989
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,SSW,0.3763,0.4786,0.4214,0.2669,289442
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,1,0.6644,0.674,0.6592,0.5281,0.8383,23,unknown,UPL,0.943,0.9213,0.932,0.8727,3881044
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,EMW,0.6481,0.671,0.6594,0.4918,344124
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,FSW,0.6812,0.8016,0.7365,0.5829,1047046
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,SSW,0.5128,0.474,0.4926,0.3268,286541
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,2,0.7018,0.711,0.6957,0.5628,0.8432,23,unknown,UPL,0.9408,0.8977,0.9188,0.8497,3827313
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.7232,0.7633,0.6924,0.5825,0.841,22,unknown,EMW,0.6218,0.7926,0.6969,0.5348,361928
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.7232,0.7633,0.6924,0.5825,0.841,22,unknown,FSW,0.6884,0.7415,0.714,0.5552,1012552
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.7232,0.7633,0.6924,0.5825,0.841,22,unknown,SSW,0.5113,0.6317,0.5651,0.3938,287888
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.7232,0.7633,0.6924,0.5825,0.841,22,unknown,UPL,0.9479,0.8874,0.9167,0.8462,3842656
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6805,0.6946,0.6713,0.5447,0.8433,22,unknown,EMW,0.59,0.7141,0.6461,0.4773,450549
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6805,0.6946,0.6713,0.5447,0.8433,22,unknown,FSW,0.692,0.7573,0.7232,0.5664,883989
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6805,0.6946,0.6713,0.5447,0.8433,22,unknown,SSW,0.4579,0.3958,0.4246,0.2695,289442
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6805,0.6946,0.6713,0.5447,0.8433,22,unknown,UPL,0.9451,0.9113,0.9279,0.8654,3881044
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.7214,0.7501,0.7004,0.581,0.8431,22,unknown,EMW,0.6025,0.7862,0.6822,0.5177,344124
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.7214,0.7501,0.7004,0.581,0.8431,22,unknown,FSW,0.6911,0.7735,0.73,0.5748,1047046
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.7214,0.7501,0.7004,0.581,0.8431,22,unknown,SSW,0.5638,0.5515,0.5576,0.3866,286541
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.7214,0.7501,0.7004,0.581,0.8431,22,unknown,UPL,0.9443,0.8891,0.9159,0.8448,3827313
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.7552,0.7825,0.7321,0.6205,0.8606,26,unknown,EMW,0.6903,0.7952,0.739,0.5861,361928
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.7552,0.7825,0.7321,0.6205,0.8606,26,unknown,FSW,0.7091,0.7798,0.7427,0.5908,1012552
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.7552,0.7825,0.7321,0.6205,0.8606,26,unknown,SSW,0.5774,0.6513,0.6121,0.4411,287888
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.7552,0.7825,0.7321,0.6205,0.8606,26,unknown,UPL,0.9515,0.9037,0.927,0.8639,3842656
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6813,0.6996,0.6705,0.5427,0.8396,26,unknown,EMW,0.6465,0.616,0.6309,0.4608,450549
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6813,0.6996,0.6705,0.5427,0.8396,26,unknown,FSW,0.6965,0.7027,0.6996,0.538,883989
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6813,0.6996,0.6705,0.5427,0.8396,26,unknown,SSW,0.3951,0.5623,0.4641,0.3022,289442
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6813,0.6996,0.6705,0.5427,0.8396,26,unknown,UPL,0.9439,0.9174,0.9305,0.87,3881044
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.7243,0.7466,0.7229,0.5874,0.8541,26,unknown,EMW,0.5838,0.839,0.6885,0.525,344124
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.7243,0.7466,0.7229,0.5874,0.8541,26,unknown,FSW,0.7197,0.7922,0.7543,0.6055,1047046
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.7243,0.7466,0.7229,0.5874,0.8541,26,unknown,SSW,0.6433,0.4528,0.5315,0.3619,286541
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.7243,0.7466,0.7229,0.5874,0.8541,26,unknown,UPL,0.9446,0.9024,0.923,0.8571,3827313
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5863,0.6183,0.6176,0.4457,0.7856,26,unknown,EMW,0.6111,0.3261,0.4253,0.2701,361928
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5863,0.6183,0.6176,0.4457,0.7856,26,unknown,FSW,0.6373,0.5308,0.5792,0.4077,1012552
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5863,0.6183,0.6176,0.4457,0.7856,26,unknown,SSW,0.3136,0.715,0.436,0.2788,287888
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,0,0.5863,0.6183,0.6176,0.4457,0.7856,26,unknown,UPL,0.9085,0.9012,0.9048,0.8262,3842656
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5629,0.5741,0.581,0.4266,0.7812,26,unknown,EMW,0.5232,0.3579,0.425,0.2699,450549
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5629,0.5741,0.581,0.4266,0.7812,26,unknown,FSW,0.6226,0.5044,0.5573,0.3862,883989
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5629,0.5741,0.581,0.4266,0.7812,26,unknown,SSW,0.279,0.5216,0.3636,0.2222,289442
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,1,0.5629,0.5741,0.581,0.4266,0.7812,26,unknown,UPL,0.8991,0.9127,0.9059,0.8279,3881044
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5942,0.6018,0.5929,0.4591,0.7974,26,unknown,EMW,0.5301,0.5775,0.5528,0.382,344124
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5942,0.6018,0.5929,0.4591,0.7974,26,unknown,FSW,0.6784,0.5679,0.6182,0.4474,1047046
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5942,0.6018,0.5929,0.4591,0.7974,26,unknown,SSW,0.2591,0.3481,0.2971,0.1744,286541
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5942,0.6018,0.5929,0.4591,0.7974,26,unknown,UPL,0.9039,0.9136,0.9087,0.8327,3827313
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,0,0.7569,0.7704,0.7462,0.6227,0.866,26,unknown,EMW,0.7386,0.7183,0.7283,0.5727,361928
