config,label,lidar,spectral,featureset,class,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,iou_mean,iou_std,iou_count
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,EMW,0.6406333333333333,0.00882118661707897,3,0.6484666666666666,0.07498382047704251,3,0.6433333333333333,0.041690446547540526,3,0.4751,0.04465680239336445,3
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,FSW,0.6978,0.024387701818744573,3,0.7576,0.03834696858944651,3,0.7258,0.01543988341924905,3,0.5697666666666666,0.018904320493827145,3
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,SSW,0.4745,0.08572671695568423,3,0.532,0.09650264245086757,3,0.4993,0.08145692113012867,3,0.3353333333333333,0.07307464220462069,3
fld_chm_leafoff,fld,chm,leafoff,chm_leafoff,UPL,0.9414666666666666,0.0013316656236958668,3,0.9104000000000001,0.011902520741422758,3,0.9256666666666667,0.006616141876753689,3,0.8616333333333334,0.011524466726635709,3
fld_chm_leafon,fld,chm,leafon,chm_leafon,EMW,0.6097333333333333,0.03830069625128676,3,0.6615333333333333,0.07475221289924024,3,0.6338333333333334,0.05016466219694238,3,0.46526666666666666,0.05330594088216937,3
fld_chm_leafon,fld,chm,leafon,chm_leafon,FSW,0.6652333333333332,0.012821986325578922,3,0.8012,0.04211496171196166,3,0.7263999999999999,0.014723790272888285,3,0.5705,0.01801582637571758,3
fld_chm_leafon,fld,chm,leafon,chm_leafon,SSW,0.4934,0.06451139434239504,3,0.5233,0.06662642118559271,3,0.5073,0.06215166932593205,3,0.3414333333333333,0.05637076665553996,3
fld_chm_leafon,fld,chm,leafon,chm_leafon,UPL,0.9495,0.0071042240955645234,3,0.8865999999999999,0.02421920725374801,3,0.9167666666666667,0.00979863936132633,3,0.8464333333333333,0.01675002487560345,3
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,EMW,0.6402,0.05352877730716443,3,0.7500666666666667,0.11815250032620273,3,0.6861333333333333,0.05408884666299817,3,0.5239666666666666,0.06265639100150384,3
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,FSW,0.7084333333333334,0.011614358929072794,3,0.7582333333333334,0.04849127069208782,3,0.7322000000000001,0.02882204017761407,3,0.5781000000000001,0.03549690127320973,3
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,SSW,0.5386000000000001,0.12856861981058987,3,0.5554666666666667,0.09942627084092681,3,0.5358999999999999,0.07409804315904706,3,0.3684,0.06967775828770613,3
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,UPL,0.9466666666666667,0.004200396806652142,3,0.9078333333333334,0.008310435207215892,3,0.9268333333333333,0.003752776749732514,3,0.8636666666666667,0.006453164598345037,3
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,EMW,0.6047666666666667,0.016020715755962155,3,0.7643,0.043592086437792825,3,0.6750666666666666,0.026140453961883147,3,0.5099333333333333,0.029526315945836087,3
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,FSW,0.6905,0.001873499399519531,3,0.7574333333333333,0.016000416661241364,3,0.7223999999999999,0.00802994395995394,3,0.5654666666666667,0.009833276835995894,3
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,SSW,0.511,0.05295063738993137,3,0.5263333333333333,0.11994675207496593,3,0.5157666666666666,0.07904165568441324,3,0.3499666666666667,0.06977910384444136,3
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,UPL,0.9457666666666666,0.001890326250500993,3,0.8959333333333334,0.013335041557240598,3,0.9201666666666667,0.006709197666884828,3,0.8521333333333333,0.011510574848083535,3
