config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,3,0.586,0.5721,0.607475,0.4547,0.816,22,unknown,EMW,0.6727,0.4968,0.5715,0.4001,639905
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,3,0.586,0.5721,0.607475,0.4547,0.816,22,unknown,FSW,0.5932,0.6444,0.6177,0.4469,1517832
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,3,0.586,0.5721,0.607475,0.4547,0.816,22,unknown,SSW,0.2611,0.2352,0.2475,0.1412,317108
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,3,0.586,0.5721,0.607475,0.4547,0.816,22,unknown,UPL,0.9029,0.912,0.9074,0.8305,6765731
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,4,0.5499,0.607475,0.52765,0.4137,0.754,22,unknown,EMW,0.4293,0.6226,0.5082,0.3407,549262
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,4,0.5499,0.607475,0.52765,0.4137,0.754,22,unknown,FSW,0.4231,0.7459,0.5399,0.3698,1170508
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,4,0.5499,0.607475,0.52765,0.4137,0.754,22,unknown,SSW,0.2955,0.2482,0.2698,0.1559,623619
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,4,0.5499,0.607475,0.52765,0.4137,0.754,22,unknown,UPL,0.9627,0.8132,0.8817,0.7884,6700579
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.6324,0.66715,0.620675,0.4803,0.7282,22,unknown,EMW,0.4939,0.8017,0.6113,0.4402,621544
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.6324,0.66715,0.620675,0.4803,0.7282,22,unknown,FSW,0.6169,0.6883,0.6507,0.4822,966100
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.6324,0.66715,0.620675,0.4803,0.7282,22,unknown,SSW,0.4632,0.3907,0.4239,0.2689,566727
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,0,0.6324,0.66715,0.620675,0.4803,0.7282,22,unknown,UPL,0.9087,0.7879,0.844,0.7301,3088482
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6611,0.67325,0.6725,0.5096,0.7559,22,unknown,EMW,0.4333,0.6425,0.5176,0.3491,532418
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6611,0.67325,0.6725,0.5096,0.7559,22,unknown,FSW,0.6826,0.7624,0.7203,0.5629,1459626
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6611,0.67325,0.6725,0.5096,0.7559,22,unknown,SSW,0.6943,0.4606,0.5538,0.383,662690
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,1,0.6611,0.67325,0.6725,0.5096,0.7559,22,unknown,UPL,0.8798,0.8275,0.8528,0.7434,3440085
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.6292,0.6656,0.632675,0.4738,0.7236,22,unknown,EMW,0.3914,0.7277,0.509,0.3414,424418
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.6292,0.6656,0.632675,0.4738,0.7236,22,unknown,FSW,0.6327,0.7257,0.676,0.5106,1327131
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.6292,0.6656,0.632675,0.4738,0.7236,22,unknown,SSW,0.6421,0.4151,0.5042,0.3371,793850
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,2,0.6292,0.6656,0.632675,0.4738,0.7236,22,unknown,UPL,0.8645,0.7939,0.8277,0.7061,3418375
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,3,0.632,0.6622,0.618125,0.4854,0.8052,22,unknown,EMW,0.5681,0.466,0.512,0.3441,639905
