config,FSW_iou,FSW_recall,UPL_iou,UPL_recall,macro_f1,mean_iou
fld_nolidar_leafon,0.477 +/- 0.073 (n=5),0.696 +/- 0.109 (n=5),0.761 +/- 0.066 (n=5),0.846 +/- 0.062 (n=5),0.579 +/- 0.022 (n=5),0.439 +/- 0.019 (n=5)
fld_nolidar_leafoff,0.455 +/- 0.052 (n=5),0.711 +/- 0.043 (n=5),0.760 +/- 0.060 (n=5),0.818 +/- 0.065 (n=5),0.584 +/- 0.036 (n=5),0.442 +/- 0.036 (n=5)
fld_chmret_leafon,0.501 +/- 0.041 (n=5),0.730 +/- 0.027 (n=5),0.762 +/- 0.052 (n=5),0.830 +/- 0.041 (n=5),0.642 +/- 0.015 (n=5),0.492 +/- 0.017 (n=5)
fld_chmret_leafoff,0.492 +/- 0.042 (n=5),0.719 +/- 0.072 (n=5),0.767 +/- 0.062 (n=5),0.830 +/- 0.066 (n=5),0.650 +/- 0.034 (n=5),0.501 +/- 0.035 (n=5)
nwi_chmret_leafoff,0.335 +/- 0.068 (n=5),0.447 +/- 0.088 (n=5),0.750 +/- 0.052 (n=5),0.855 +/- 0.057 (n=5),0.536 +/- 0.044 (n=5),0.399 +/- 0.035 (n=5)
nwiextra_chmret_leafoff,0.387 +/- 0.050 (n=5),0.531 +/- 0.073 (n=5),0.749 +/- 0.054 (n=5),0.813 +/- 0.058 (n=5),0.580 +/- 0.053 (n=5),0.437 +/- 0.041 (n=5)
nwifield_chmret_leafoff,0.487 +/- 0.046 (n=5),0.692 +/- 0.055 (n=5),0.767 +/- 0.052 (n=5),0.821 +/- 0.051 (n=5),0.650 +/- 0.022 (n=5),0.503 +/- 0.019 (n=5)
flddeg_chmret_leafoff,0.483 +/- 0.050 (n=5),0.693 +/- 0.086 (n=5),0.753 +/- 0.074 (n=5),0.821 +/- 0.083 (n=5),0.625 +/- 0.026 (n=5),0.476 +/- 0.029 (n=5)
