config,label,lidar,spectral,featureset,class,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,iou_mean,iou_std,iou_count
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,EMW,0.5239,0.1604926945377889,5,0.6782999999999999,0.12327416598785003,5,0.5764400000000001,0.1048685987319369,5,0.41074,0.09852701659950941,5
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,FSW,0.61968,0.08601527189982021,5,0.7192999999999999,0.07204567995376268,5,0.65872,0.038413825636090956,5,0.49207999999999996,0.04239076550382168,5
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,SSW,0.53948,0.08854195050934896,5,0.47674000000000005,0.11282718200859225,5,0.49646,0.07405074611372933,5,0.3328,0.06604922406811452,5
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,UPL,0.9105800000000001,0.021506440895694513,5,0.82986,0.06640137799774941,5,0.8673,0.039648959633261475,5,0.76746,0.06162737216529685,5
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,EMW,0.49050000000000005,0.07873382373541882,5,0.66722,0.12629630635929143,5,0.5549999999999999,0.05798159190639731,5,0.38588,0.05645774526138995,5
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,FSW,0.61498,0.05228553337205231,5,0.7297399999999999,0.026974858665060705,5,0.66648,0.03588623691612153,5,0.50068,0.040864862657300084,5
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,SSW,0.5408200000000001,0.12687169503084603,5,0.45326000000000005,0.07868534170987632,5,0.48145999999999994,0.04944879169403432,5,0.3182,0.0435548504761525,5
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,UPL,0.9014200000000001,0.02976217397973475,5,0.8303,0.040507777031083755,5,0.86418,0.0330992749165295,5,0.76206,0.051773574340584175,5
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,EMW,0.46227999999999997,0.16094428228427377,5,0.5753,0.12590214454090923,5,0.5000600000000001,0.11898366694635025,5,0.34022,0.10737416821563742,5
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,FSW,0.56364,0.08305993619068103,5,0.71144,0.04253214078787947,5,0.62442,0.050756743394351087,5,0.45549999999999996,0.05195608722758093,5
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,SSW,0.37046,0.08734774181397022,5,0.3281,0.0860336562049992,5,0.34722,0.08390725236831438,5,0.21256,0.060966695826492036,5
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,UPL,0.91502,0.0325936650286524,5,0.81802,0.06492720539188485,5,0.86256,0.039089551033492306,5,0.75996,0.06004671514745834,5
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,EMW,0.43967999999999996,0.09692216980649991,5,0.50624,0.20554958769114567,5,0.45380000000000004,0.11815011637742895,5,0.29946,0.0975894615212114,5
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,FSW,0.60626,0.06619435776559812,5,0.69562,0.10917255607523352,5,0.6429400000000001,0.06781583885789512,5,0.47668,0.07282147348138461,5
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,SSW,0.41576,0.14919665880977362,5,0.33944,0.14264076556160235,5,0.3553,0.09053626345282866,5,0.21896,0.06602342766018741,5
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,UPL,0.88322,0.04521965280715898,5,0.84594,0.061655640455679284,5,0.8630599999999999,0.04249674105152069,5,0.7611000000000001,0.06644783668412392,5
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,EMW,0.48704000000000003,0.14399108652968767,5,0.56554,0.16959588143584148,5,0.50834,0.10788912364089345,5,0.34643999999999997,0.09738389497242345,5
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,FSW,0.62034,0.061121951866739334,5,0.69294,0.08626376991530105,5,0.6500999999999999,0.04507155422214772,5,0.48292,0.049736073427644,5
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,SSW,0.47542,0.06128871837459157,5,0.5169400000000001,0.10932700032471394,5,0.48507999999999996,0.04672565676370959,5,0.32122,0.04115406419784077,5
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,UPL,0.9003399999999999,0.02257926039532739,5,0.82148,0.08347291177382034,5,0.85742,0.04872070401790187,5,0.75298,0.07418555789370322,5
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,EMW,0.41042000000000006,0.15932345087902158,5,0.32366,0.14564814794565706,5,0.35788000000000003,0.14237382835338802,5,0.22528,0.10606378741116122,5
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,FSW,0.59202,0.11632507038467675,5,0.44652000000000003,0.08769587789628425,5,0.49924,0.07628350411458562,5,0.33544,0.06773048058296943,5
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,SSW,0.34996,0.13181930055951593,5,0.56806,0.28544223233432015,5,0.43018,0.18455102817378183,5,0.28752,0.1440787527708371,5
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,UPL,0.8595200000000001,0.03159393929221234,5,0.85494,0.05659728792088891,5,0.8561799999999999,0.033545074154039324,5,0.7498,0.0519256198807487,5
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,EMW,0.44932,0.1451432120355616,5,0.5627,0.20924166650072354,5,0.49178,0.15250913743117167,5,0.33628,0.1263962499443714,5
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,FSW,0.5982,0.09091586770195839,5,0.53114,0.07278367261961985,5,0.55612,0.05113743247367821,5,0.38656,0.04953718805099861,5
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,SSW,0.34374000000000005,0.15059322029892314,5,0.547,0.28221265031886866,5,0.41552,0.18463419780744847,5,0.27498,0.13696670033259908,5
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,UPL,0.90418,0.02007715119233803,5,0.8131600000000001,0.058176997172422036,5,0.8553599999999999,0.0347262580765622,5,0.74864,0.05409711637416544,5
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,EMW,0.49510000000000004,0.12962276034709333,5,0.68926,0.1346852738795151,5,0.5715399999999999,0.11678579965047121,5,0.4074,0.11181826773832618,5
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,FSW,0.62588,0.06945622362322905,5,0.69202,0.054794726023587335,5,0.65428,0.041855131107189275,5,0.48735999999999996,0.04634520471418808,5
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,SSW,0.48231999999999997,0.12802924275336475,5,0.5462400000000001,0.1349312899219451,5,0.50838,0.12730925732247442,5,0.34886,0.11765988271284313,5
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,UPL,0.92154,0.019858449083450583,5,0.8205,0.05130438577743624,5,0.86746,0.03327420923177587,5,0.76716,0.05184986017338905,5
