config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,0,EMW,0,1,flat,3.220898361178115e-05
fld_chmret_leafoff,0,EMW,1,2,peak,1.1959766652580583e-06
fld_chmret_leafoff,0,EMW,2,3,ridge,7.85427437222097e-06
fld_chmret_leafoff,0,EMW,3,4,shoulder,7.777122846164275e-06
fld_chmret_leafoff,0,EMW,4,5,spur,7.80763275542995e-06
fld_chmret_leafoff,0,EMW,5,6,slope,2.218121153418906e-05
fld_chmret_leafoff,0,EMW,6,7,hollow,9.898423741105944e-06
fld_chmret_leafoff,0,EMW,7,8,footslope,1.5813942809472792e-05
fld_chmret_leafoff,0,EMW,8,9,valley,1.6946400137385353e-05
fld_chmret_leafoff,0,EMW,9,10,pit,5.270778274280019e-06
fld_chmret_leafoff,0,FSW,0,1,flat,4.860028639086522e-05
fld_chmret_leafoff,0,FSW,1,2,peak,1.8964743730975897e-06
fld_chmret_leafoff,0,FSW,2,3,ridge,1.2348772543191444e-05
fld_chmret_leafoff,0,FSW,3,4,shoulder,1.168633116321871e-05
fld_chmret_leafoff,0,FSW,4,5,spur,1.2181987585790921e-05
fld_chmret_leafoff,0,FSW,5,6,slope,3.382792056072503e-05
fld_chmret_leafoff,0,FSW,6,7,hollow,1.6058518667705357e-05
fld_chmret_leafoff,0,FSW,7,8,footslope,2.5600882509024814e-05
fld_chmret_leafoff,0,FSW,8,9,valley,3.2216594263445586e-05
fld_chmret_leafoff,0,FSW,9,10,pit,8.446755600743927e-06
fld_chmret_leafoff,0,SSW,0,1,flat,3.878130155499093e-05
fld_chmret_leafoff,0,SSW,1,2,peak,1.1950512543990044e-06
fld_chmret_leafoff,0,SSW,2,3,ridge,7.242178980959579e-06
fld_chmret_leafoff,0,SSW,3,4,shoulder,7.604547135997564e-06
fld_chmret_leafoff,0,SSW,4,5,spur,7.4019467319885734e-06
fld_chmret_leafoff,0,SSW,5,6,slope,2.380647674726788e-05
fld_chmret_leafoff,0,SSW,6,7,hollow,1.0587467841105536e-05
fld_chmret_leafoff,0,SSW,7,8,footslope,2.2388270735973492e-05
fld_chmret_leafoff,0,SSW,8,9,valley,2.1709103748435155e-05
fld_chmret_leafoff,0,SSW,9,10,pit,6.177307113830466e-06
fld_chmret_leafoff,0,UPL,0,1,flat,6.635575846303254e-05
fld_chmret_leafoff,0,UPL,1,2,peak,2.0937591216352303e-06
fld_chmret_leafoff,0,UPL,2,3,ridge,1.3509874406736344e-05
fld_chmret_leafoff,0,UPL,3,4,shoulder,1.3443098396237474e-05
fld_chmret_leafoff,0,UPL,4,5,spur,1.3469068107951898e-05
fld_chmret_leafoff,0,UPL,5,6,slope,4.11633045587223e-05
fld_chmret_leafoff,0,UPL,6,7,hollow,1.8893697415478528e-05
fld_chmret_leafoff,0,UPL,7,8,footslope,3.531335460138507e-05
fld_chmret_leafoff,0,UPL,8,9,valley,4.1560611862223595e-05
fld_chmret_leafoff,0,UPL,9,10,pit,1.0046795068774372e-05
fld_chmret_leafoff,0,overall,0,1,flat,4.6486584324156865e-05
fld_chmret_leafoff,0,overall,1,2,peak,1.595315438862599e-06
fld_chmret_leafoff,0,overall,2,3,ridge,1.0238774848403409e-05
fld_chmret_leafoff,0,overall,3,4,shoulder,1.012777465803083e-05
fld_chmret_leafoff,0,overall,4,5,spur,1.0215158908977173e-05
fld_chmret_leafoff,0,overall,5,6,slope,3.024472971446812e-05
fld_chmret_leafoff,0,overall,6,7,hollow,1.3859526916348841e-05
fld_chmret_leafoff,0,overall,7,8,footslope,2.4779110390227288e-05
fld_chmret_leafoff,0,overall,8,9,valley,2.8108177502872422e-05
fld_chmret_leafoff,0,overall,9,10,pit,7.485408787033521e-06
fld_chmret_leafoff,1,EMW,0,1,flat,2.0970946934539825e-05
fld_chmret_leafoff,1,EMW,1,2,peak,1.2625373528862838e-06
fld_chmret_leafoff,1,EMW,2,3,ridge,3.759928858926287e-06
