config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5445,0.615425,0.53855,0.3978,0.7063,21,cad2392-dirty,EMW,0.3911,0.7966,0.5246,0.3556,726227
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5445,0.615425,0.53855,0.3978,0.7063,21,cad2392-dirty,FSW,0.4016,0.655,0.4979,0.3315,1145086
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5445,0.615425,0.53855,0.3978,0.7063,21,cad2392-dirty,SSW,0.4298,0.2608,0.3247,0.1938,623259
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,0,0.5445,0.615425,0.53855,0.3978,0.7063,21,cad2392-dirty,UPL,0.9317,0.7493,0.8306,0.7103,6287252
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5972,0.6155750000000001,0.5840000000000001,0.4542,0.7912,21,cad2392-dirty,EMW,0.4329,0.5702,0.4922,0.3264,864272
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5972,0.6155750000000001,0.5840000000000001,0.4542,0.7912,21,cad2392-dirty,FSW,0.5298,0.5107,0.5201,0.3514,2263664
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5972,0.6155750000000001,0.5840000000000001,0.4542,0.7912,21,cad2392-dirty,SSW,0.4523,0.483,0.4671,0.3047,1093119
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,1,0.5972,0.6155750000000001,0.5840000000000001,0.4542,0.7912,21,cad2392-dirty,UPL,0.921,0.8984,0.9096,0.8341,10852225
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.576,0.59695,0.5734,0.4424,0.7844,21,cad2392-dirty,EMW,0.6498,0.5607,0.602,0.4306,947491
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.576,0.59695,0.5734,0.4424,0.7844,21,cad2392-dirty,FSW,0.4436,0.7145,0.5473,0.3768,1107235
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.576,0.59695,0.5734,0.4424,0.7844,21,cad2392-dirty,SSW,0.265,0.2488,0.2567,0.1472,466358
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,2,0.576,0.59695,0.5734,0.4424,0.7844,21,cad2392-dirty,UPL,0.9352,0.8638,0.8981,0.815,6785028
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.597,0.59075,0.60995,0.455,0.7893,21,cad2392-dirty,EMW,0.6755,0.5081,0.58,0.4084,1917336
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.597,0.59075,0.60995,0.455,0.7893,21,cad2392-dirty,FSW,0.5342,0.5639,0.5487,0.378,1868393
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.597,0.59075,0.60995,0.455,0.7893,21,cad2392-dirty,SSW,0.3466,0.3828,0.3638,0.2223,726249
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,3,0.597,0.59075,0.60995,0.455,0.7893,21,cad2392-dirty,UPL,0.8835,0.9082,0.8957,0.8111,10561302
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5311,0.5544,0.5249999999999999,0.4041,0.7847,21,cad2392-dirty,EMW,0.3059,0.4889,0.3764,0.2318,533326
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5311,0.5544,0.5249999999999999,0.4041,0.7847,21,cad2392-dirty,FSW,0.5072,0.5784,0.5404,0.3703,2264067
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5311,0.5544,0.5249999999999999,0.4041,0.7847,21,cad2392-dirty,SSW,0.3612,0.247,0.2933,0.1719,1196775
fld_nolidar_leafon,fld,nolidar,leafon,nolidar_leafon,4,0.5311,0.5544,0.5249999999999999,0.4041,0.7847,21,cad2392-dirty,UPL,0.9257,0.9033,0.9144,0.8423,10685896
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.645,0.67645,0.6494,0.497,0.7743,25,cad2392-dirty,EMW,0.6034,0.8506,0.706,0.5455,726227
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.645,0.67645,0.6494,0.497,0.7743,25,cad2392-dirty,FSW,0.4139,0.6139,0.4944,0.3284,1145086
fld_nolidar_leafoff,fld,nolidar,leafoff,nolidar_leafoff,0,0.645,0.67645,0.6494,0.497,0.7743,25,cad2392-dirty,SSW,0.6593,0.4105,0.506,0.3387,623259
