config,FSW_iou,FSW_recall,UPL_iou,UPL_recall,macro_f1,mean_iou
fld_nolidar_leafon,0.362 +/- 0.020 (n=5),0.605 +/- 0.080 (n=5),0.803 +/- 0.053 (n=5),0.865 +/- 0.067 (n=5),0.569 +/- 0.030 (n=5),0.431 +/- 0.028 (n=5)
fld_nolidar_leafoff,0.368 +/- 0.025 (n=5),0.579 +/- 0.058 (n=5),0.815 +/- 0.027 (n=5),0.884 +/- 0.031 (n=5),0.601 +/- 0.037 (n=5),0.462 +/- 0.033 (n=5)
fld_chmret_leafon,0.370 +/- 0.060 (n=5),0.586 +/- 0.088 (n=5),0.801 +/- 0.046 (n=5),0.864 +/- 0.052 (n=5),0.628 +/- 0.038 (n=5),0.483 +/- 0.039 (n=5)
fld_chmret_leafoff,0.349 +/- 0.054 (n=5),0.529 +/- 0.102 (n=5),0.814 +/- 0.030 (n=5),0.887 +/- 0.038 (n=5),0.625 +/- 0.024 (n=5),0.481 +/- 0.025 (n=5)
nwi_chmret_leafoff,0.295 +/- 0.046 (n=5),0.469 +/- 0.090 (n=5),0.791 +/- 0.055 (n=5),0.886 +/- 0.067 (n=5),0.540 +/- 0.041 (n=5),0.406 +/- 0.037 (n=5)
nwiextra_chmret_leafoff,0.313 +/- 0.049 (n=5),0.488 +/- 0.100 (n=5),0.797 +/- 0.050 (n=5),0.872 +/- 0.063 (n=5),0.577 +/- 0.053 (n=5),0.438 +/- 0.047 (n=5)
nwifield_chmret_leafoff,0.363 +/- 0.040 (n=5),0.582 +/- 0.111 (n=5),0.808 +/- 0.036 (n=5),0.866 +/- 0.051 (n=5),0.620 +/- 0.051 (n=5),0.478 +/- 0.049 (n=5)
flddeg_chmret_leafoff,0.347 +/- 0.063 (n=5),0.536 +/- 0.123 (n=5),0.803 +/- 0.030 (n=5),0.871 +/- 0.035 (n=5),0.616 +/- 0.035 (n=5),0.472 +/- 0.036 (n=5)
