config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,1,SSW,4,5,spur,9.792578566703014e-06
fld_chmret_leafoff,1,SSW,5,6,slope,3.448959978413768e-05
fld_chmret_leafoff,1,SSW,6,7,hollow,1.182548476208467e-05
fld_chmret_leafoff,1,SSW,7,8,footslope,1.9779414287768304e-05
fld_chmret_leafoff,1,SSW,8,9,valley,1.8559256204753183e-05
fld_chmret_leafoff,1,SSW,9,10,pit,3.765868314076215e-06
fld_chmret_leafoff,1,UPL,0,1,flat,4.320569132687524e-05
fld_chmret_leafoff,1,UPL,1,2,peak,3.127330955976504e-06
fld_chmret_leafoff,1,UPL,2,3,ridge,9.478615538682789e-06
fld_chmret_leafoff,1,UPL,3,4,shoulder,8.207028258766513e-06
fld_chmret_leafoff,1,UPL,4,5,spur,1.0262748219247442e-05
fld_chmret_leafoff,1,UPL,5,6,slope,3.0628150852862746e-05
fld_chmret_leafoff,1,UPL,6,7,hollow,9.7588681455818e-06
fld_chmret_leafoff,1,UPL,7,8,footslope,2.0201507140882313e-05
fld_chmret_leafoff,1,UPL,8,9,valley,1.5695408364990726e-05
fld_chmret_leafoff,1,UPL,9,10,pit,3.0037133456062293e-06
fld_chmret_leafoff,1,overall,0,1,flat,4.464482481125742e-05
fld_chmret_leafoff,1,overall,1,2,peak,2.4539183414162835e-06
fld_chmret_leafoff,1,overall,2,3,ridge,1.1101803465862758e-05
fld_chmret_leafoff,1,overall,3,4,shoulder,8.292405254906043e-06
fld_chmret_leafoff,1,overall,4,5,spur,1.0630671567923855e-05
fld_chmret_leafoff,1,overall,5,6,slope,3.357195237185806e-05
fld_chmret_leafoff,1,overall,6,7,hollow,1.1593322597036604e-05
fld_chmret_leafoff,1,overall,7,8,footslope,2.1390047550085e-05
fld_chmret_leafoff,1,overall,8,9,valley,1.9601287931436673e-05
fld_chmret_leafoff,1,overall,9,10,pit,4.264728431735421e-06
fld_chmret_leafoff,2,EMW,0,1,flat,2.8020242098136805e-05
fld_chmret_leafoff,2,EMW,1,2,peak,1.7226350337296026e-06
fld_chmret_leafoff,2,EMW,2,3,ridge,6.096920515119564e-06
fld_chmret_leafoff,2,EMW,3,4,shoulder,3.4067240903823404e-06
fld_chmret_leafoff,2,EMW,4,5,spur,8.04980572866043e-06
fld_chmret_leafoff,2,EMW,5,6,slope,2.7060606953455135e-05
fld_chmret_leafoff,2,EMW,6,7,hollow,9.90048920357367e-06
fld_chmret_leafoff,2,EMW,7,8,footslope,1.6458950995001942e-05
fld_chmret_leafoff,2,EMW,8,9,valley,1.5651676221750677e-05
fld_chmret_leafoff,2,EMW,9,10,pit,3.0312969556689495e-06
fld_chmret_leafoff,2,FSW,0,1,flat,3.357582681928761e-05
fld_chmret_leafoff,2,FSW,1,2,peak,3.4449712984496728e-06
fld_chmret_leafoff,2,FSW,2,3,ridge,1.1318318684061524e-05
fld_chmret_leafoff,2,FSW,3,4,shoulder,5.835928277519997e-06
fld_chmret_leafoff,2,FSW,4,5,spur,1.502328541391762e-05
fld_chmret_leafoff,2,FSW,5,6,slope,4.7136327339103445e-05
fld_chmret_leafoff,2,FSW,6,7,hollow,1.59001301653916e-05
fld_chmret_leafoff,2,FSW,7,8,footslope,2.3665288608754054e-05
fld_chmret_leafoff,2,FSW,8,9,valley,2.790273356367834e-05
fld_chmret_leafoff,2,FSW,9,10,pit,8.265019459940959e-06
fld_chmret_leafoff,2,SSW,0,1,flat,2.8811196898459457e-05
fld_chmret_leafoff,2,SSW,1,2,peak,2.982138994411798e-06
fld_chmret_leafoff,2,SSW,2,3,ridge,1.0021058187703602e-05
