config,WET_iou_mc_collapsed,WET_iou_binary,WET_iou_delta(bin-mc),WET_recall_mc_collapsed,WET_recall_binary,UPL_iou_mc,UPL_iou_mc_sd,UPL_iou_binary,UPL_iou_binary_sd,UPL_iou_delta(bin-mc)
fld_nolidar_leafon,0.6328225725763349,0.6463146337990358,0.013492061222700857,0.8022485163157212,0.8001834098458375,0.7611,0.06644783668412389,0.7821199999999999,0.04510772661085903,0.021019999999999928
fld_nolidar_leafoff,0.6472730158645588,0.6672734083033091,0.020000392438750292,0.8582852107718083,0.8262797572740003,0.7599600000000001,0.060046715147458324,0.79106,0.045455835708960404,0.031099999999999905
fld_chmret_leafon,0.6423762668858218,0.6168337889337093,-0.025542477952112508,0.8370714953365462,0.7365763561164299,0.76206,0.05177357434058424,0.7786,0.05998428960986368,0.01654
fld_chmret_leafoff,0.6538103148300708,0.6668838592199267,0.013073544389855862,0.8475006198276838,0.8531657380615602,0.76746,0.06162737216529683,0.7788000000000002,0.04820757201934154,0.011340000000000128
nwi_chmret_leafoff,0.5856187116309944,0.6125203837766442,0.026901672145649758,0.7388163616106747,0.7404821331076048,0.7497999999999999,0.05192561988074867,0.7689,0.06539116912856045,0.019100000000000117
nwiextra_chmret_leafoff,0.6256200616289508,0.6365923254444577,0.010972263815506866,0.8352129980945946,0.8138919937322235,0.74864,0.05409711637416546,0.76706,0.05331480094682901,0.018419999999999992
nwifield_chmret_leafoff,0.6591418300588511,0.6680788075101648,0.008936977451313721,0.8700491212412523,0.8583777947081421,0.76716,0.05184986017338907,0.7748,0.06925615496112962,0.007640000000000091
flddeg_chmret_leafoff,0.634021998890588,0.6744383699304201,0.04041637103983209,0.8274231319198688,0.8513845447096619,0.7529800000000001,0.07418555789370326,0.78618,0.059925970997556664,0.033199999999999896
