config,mode,arch,baseline,metric,n_seeds,baseline_mean,arch_mean,delta_mean,delta_sd,delta_min,delta_max,n_better,sign_consistent,lower_is_better
fld_chmret_leafoff,binary,unet3plus,unet,macro_f1,5,0.837,0.83464,-0.002359999999999962,0.013391527172059178,-0.01749999999999996,0.01539999999999997,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,mean_iou,5,0.7227399999999999,0.72026,-0.0024799999999999935,0.019107642450077383,-0.02210000000000001,0.023699999999999943,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,overall_accuracy,5,0.8513200000000001,0.8521000000000001,0.0007800000000000029,0.012297235461679977,-0.012399999999999967,0.01859999999999995,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,iou_WET,5,0.66666,0.6578600000000001,-0.00880000000000003,0.020194058532152427,-0.04169999999999996,0.008599999999999941,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,f1_WET,5,0.7989999999999999,0.7921,-0.006899999999999973,0.016058331171077526,-0.03359999999999996,0.00660000000000005,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,iou_UPL,5,0.7788000000000002,0.78262,0.0038199999999999567,0.0242146030320549,-0.024800000000000044,0.04070000000000007,2,False,False
fld_chmret_leafoff,binary,unet3plus,unet,f1_UPL,5,0.8749800000000001,0.8772,0.002220000000000022,0.015689710003693527,-0.01660000000000006,0.026100000000000012,2,False,False
