config,mode,seed,macro_f1_unet,mean_iou_unet,overall_accuracy_unet,iou_WET_unet,f1_WET_unet,iou_UPL_unet,f1_UPL_unet,macro_f1_unet3plus,mean_iou_unet3plus,overall_accuracy_unet3plus,iou_WET_unet3plus,f1_WET_unet3plus,iou_UPL_unet3plus,f1_UPL_unet3plus,delta_macro_f1,delta_mean_iou,delta_overall_accuracy,delta_iou_WET,delta_f1_WET,delta_iou_UPL,delta_f1_UPL
fld_chmret_leafoff,binary,0,0.8387,0.7226,0.8403,0.6991,0.8229,0.7461,0.8546,0.8541,0.7463,0.8589,0.7058,0.8275,0.7868,0.8807,0.01539999999999997,0.023699999999999943,0.01859999999999995,0.006699999999999928,0.0046000000000000485,0.04070000000000007,0.026100000000000012
fld_chmret_leafoff,binary,1,0.8425,0.7281,0.8437,0.7077,0.8288,0.7485,0.8561,0.8384,0.722,0.8396,0.7006,0.8239,0.7433,0.8528,-0.0040999999999999925,-0.006099999999999994,-0.0040999999999999925,-0.007099999999999995,-0.0049000000000000155,-0.0052000000000000934,-0.0032999999999999696
fld_chmret_leafoff,binary,2,0.8392,0.723,0.8397,0.7092,0.8299,0.7368,0.8484,0.8272,0.7054,0.8273,0.6987,0.8227,0.712,0.8318,-0.0119999999999999,-0.01759999999999995,-0.012399999999999967,-0.010500000000000065,-0.007199999999999984,-0.024800000000000044,-0.01660000000000006
fld_chmret_leafoff,binary,3,0.8297,0.7171,0.8678,0.5988,0.7491,0.8353,0.9103,0.8122,0.695,0.862,0.5571,0.7155,0.833,0.9089,-0.01749999999999996,-0.02210000000000001,-0.005800000000000027,-0.04169999999999996,-0.03359999999999996,-0.0023000000000000798,-0.0013999999999999568
fld_chmret_leafoff,binary,4,0.8349,0.7229,0.8651,0.6185,0.7643,0.8273,0.9055,0.8413,0.7326,0.8727,0.6271,0.7709,0.838,0.9118,0.006400000000000072,0.009700000000000042,0.007600000000000051,0.008599999999999941,0.00660000000000005,0.010699999999999932,0.006300000000000083
fld_chmret_leafoff,binary,mean,0.837,0.7227399999999999,0.8513200000000001,0.66666,0.7989999999999999,0.7788000000000002,0.8749800000000001,0.83464,0.72026,0.8521000000000001,0.6578600000000001,0.7921,0.78262,0.8772,-0.002359999999999962,-0.0024799999999999935,0.0007800000000000029,-0.00880000000000003,-0.006899999999999973,0.0038199999999999567,0.002220000000000022
