,EMW,FSW,SSW,UPL
EMW,319452.6,29509.4,128996.4,75551.0
FSW,34786.0,911434.8,121231.0,220787.6
SSW,137864.2,204544.0,201717.8,48672.8
UPL,223685.0,500796.0,69186.0,3888983.4
