,EMW,FSW,SSW,UPL
EMW,317151.8,14691.6,141695.6,79970.4
FSW,19800.6,889788.6,92428.0,286222.2
SSW,112785.2,119961.8,306097.8,53954.0
UPL,213312.6,422924.2,106394.0,3940019.6
