,EMW,FSW,SSW,UPL
EMW,274280.2,19346.6,135889.4,123993.2
FSW,42502.6,886501.4,86587.4,272648.0
SSW,138912.8,158817.8,210274.0,84794.2
UPL,167103.2,399963.4,84736.2,4030847.6
