,EMW,FSW,SSW,UPL
EMW,378593.0,17098.6,94059.8,63758.0
FSW,26729.6,922202.0,83242.4,256065.4
SSW,130442.4,132907.2,278005.6,51443.6
UPL,214679.6,448753.6,57797.8,3961419.4
