,EMW,FSW,SSW,UPL
EMW,389439.6,14735.6,91615.8,57718.4
FSW,31811.6,894344.6,147742.4,214340.8
SSW,140220.2,73125.6,335140.6,44312.4
UPL,224165.2,463602.6,91220.6,3903662.0
