,EMW,FSW,SSW,UPL
EMW,366182.6,21159.8,74969.2,91197.8
FSW,27076.6,943750.0,77252.6,240160.2
SSW,141454.0,126049.8,259995.8,65299.2
UPL,223317.8,444762.2,69797.2,3944773.2
