,EMW,FSW,SSW,UPL
EMW,319552.4,15945.4,148027.2,69984.4
FSW,35346.6,695178.8,279488.8,278225.2
SSW,134392.2,50565.0,354869.4,52972.2
UPL,206146.4,443952.8,165514.0,3867037.2
