,EMW,FSW,SSW,UPL
EMW,187354.2,13799.0,210935.4,141420.8
FSW,36380.2,586898.2,251623.6,413337.4
SSW,82079.0,59093.2,370520.8,81105.8
UPL,136977.6,382125.8,117773.4,4045773.6
