config,FSW_iou,FSW_recall,UPL_iou,UPL_recall,macro_f1,mean_iou
fld_nolidar_leafon,--,--,0.782 +/- 0.045 (n=5),0.862 +/- 0.052 (n=5),0.830 +/- 0.031 (n=5),0.714 +/- 0.039 (n=5)
fld_nolidar_leafoff,--,--,0.791 +/- 0.045 (n=5),0.866 +/- 0.037 (n=5),0.841 +/- 0.014 (n=5),0.730 +/- 0.020 (n=5)
fld_chmret_leafon,--,--,0.779 +/- 0.060 (n=5),0.895 +/- 0.033 (n=5),0.819 +/- 0.032 (n=5),0.699 +/- 0.045 (n=5)
fld_chmret_leafoff,--,--,0.779 +/- 0.048 (n=5),0.838 +/- 0.055 (n=5),0.837 +/- 0.005 (n=5),0.723 +/- 0.004 (n=5)
nwi_chmret_leafoff,--,--,0.769 +/- 0.065 (n=5),0.876 +/- 0.067 (n=5),0.813 +/- 0.025 (n=5),0.691 +/- 0.034 (n=5)
nwiextra_chmret_leafoff,--,--,0.767 +/- 0.053 (n=5),0.844 +/- 0.061 (n=5),0.822 +/- 0.023 (n=5),0.703 +/- 0.030 (n=5)
nwifield_chmret_leafoff,--,--,0.775 +/- 0.069 (n=5),0.833 +/- 0.078 (n=5),0.836 +/- 0.020 (n=5),0.722 +/- 0.030 (n=5)
flddeg_chmret_leafoff,--,--,0.786 +/- 0.060 (n=5),0.848 +/- 0.065 (n=5),0.842 +/- 0.019 (n=5),0.731 +/- 0.029 (n=5)
