config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,0,WET,0,1,flat,4.873183206655085e-05
fld_chmret_leafoff,0,WET,1,2,peak,2.816963160512387e-06
fld_chmret_leafoff,0,WET,2,3,ridge,1.7428370483685285e-05
fld_chmret_leafoff,0,WET,3,4,shoulder,1.966306081158109e-05
fld_chmret_leafoff,0,WET,4,5,spur,1.698093728919048e-05
fld_chmret_leafoff,0,WET,5,6,slope,4.7410423576366156e-05
fld_chmret_leafoff,0,WET,6,7,hollow,1.758349026204087e-05
fld_chmret_leafoff,0,WET,7,8,footslope,2.7069534553447738e-05
fld_chmret_leafoff,0,WET,8,9,valley,3.127363743260503e-05
fld_chmret_leafoff,0,WET,9,10,pit,7.582997113786405e-06
fld_chmret_leafoff,0,UPL,0,1,flat,4.196810914436355e-05
fld_chmret_leafoff,0,UPL,1,2,peak,2.49557638198894e-06
fld_chmret_leafoff,0,UPL,2,3,ridge,1.5885618267930113e-05
fld_chmret_leafoff,0,UPL,3,4,shoulder,1.628572317713406e-05
fld_chmret_leafoff,0,UPL,4,5,spur,1.5463285308214836e-05
fld_chmret_leafoff,0,UPL,5,6,slope,4.043340959469788e-05
fld_chmret_leafoff,0,UPL,6,7,hollow,1.6083326045190915e-05
fld_chmret_leafoff,0,UPL,7,8,footslope,2.1303432731656358e-05
fld_chmret_leafoff,0,UPL,8,9,valley,2.492697058187332e-05
fld_chmret_leafoff,0,UPL,9,10,pit,6.492356533271959e-06
fld_chmret_leafoff,0,overall,0,1,flat,4.53499706054572e-05
fld_chmret_leafoff,0,overall,1,2,peak,2.6562697712506633e-06
fld_chmret_leafoff,0,overall,2,3,ridge,1.66569952853024e-05
fld_chmret_leafoff,0,overall,3,4,shoulder,1.7974391084862873e-05
fld_chmret_leafoff,0,overall,4,5,spur,1.6222111298702657e-05
fld_chmret_leafoff,0,overall,5,6,slope,4.3921914766542614e-05
fld_chmret_leafoff,0,overall,6,7,hollow,1.6833408153615892e-05
fld_chmret_leafoff,0,overall,7,8,footslope,2.4186483642552048e-05
fld_chmret_leafoff,0,overall,8,9,valley,2.8100304916733876e-05
fld_chmret_leafoff,0,overall,9,10,pit,7.037676823529182e-06
fld_chmret_leafoff,1,WET,0,1,flat,3.120166002190672e-05
fld_chmret_leafoff,1,WET,1,2,peak,3.305856125734863e-06
fld_chmret_leafoff,1,WET,2,3,ridge,8.207894097722601e-06
fld_chmret_leafoff,1,WET,3,4,shoulder,1.2230378160893451e-05
fld_chmret_leafoff,1,WET,4,5,spur,1.3639614735438954e-05
fld_chmret_leafoff,1,WET,5,6,slope,3.386358366697095e-05
fld_chmret_leafoff,1,WET,6,7,hollow,9.50633784668753e-06
fld_chmret_leafoff,1,WET,7,8,footslope,1.6157790014403872e-05
fld_chmret_leafoff,1,WET,8,9,valley,1.6250956832664087e-05
fld_chmret_leafoff,1,WET,9,10,pit,3.407773419894511e-06
fld_chmret_leafoff,1,UPL,0,1,flat,2.6926212740363553e-05
fld_chmret_leafoff,1,UPL,1,2,peak,3.1253071028913837e-06
fld_chmret_leafoff,1,UPL,2,3,ridge,7.861554877308663e-06
fld_chmret_leafoff,1,UPL,3,4,shoulder,1.0223755452898331e-05
fld_chmret_leafoff,1,UPL,4,5,spur,1.3779672372038476e-05
fld_chmret_leafoff,1,UPL,5,6,slope,3.383106741239317e-05
fld_chmret_leafoff,1,UPL,6,7,hollow,9.375683475809637e-06
fld_chmret_leafoff,1,UPL,7,8,footslope,1.398109998262953e-05
