config,mode,arch,baseline,metric,n_seeds,baseline_mean,arch_mean,delta_mean,delta_sd,delta_min,delta_max,n_better,sign_consistent,lower_is_better
fld_chmret_leafoff,multiclass,unet3plus,unet,macro_f1,5,0.6497399999999999,0.66288,0.013140000000000018,0.0259216704708628,-0.018299999999999983,0.053100000000000036,4,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,mean_iou,5,0.50076,0.5131,0.012339999999999985,0.02682551024677818,-0.02100000000000002,0.053200000000000025,4,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,overall_accuracy,5,0.7696599999999999,0.77798,0.008320000000000017,0.026501075449875625,-0.017000000000000015,0.03959999999999997,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_EMW,5,0.41073999999999994,0.383,-0.027739999999999987,0.06788941743747695,-0.09099999999999997,0.06870000000000004,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_EMW,5,0.5764400000000001,0.55074,-0.025700000000000035,0.07420124662025568,-0.09410000000000007,0.0826,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_FSW,5,0.4920800000000001,0.5042800000000001,0.012199999999999999,0.028366088909118205,-0.033499999999999974,0.04119999999999996,4,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_FSW,5,0.65872,0.6693199999999999,0.010599999999999965,0.02483505586867082,-0.02970000000000006,0.0363,4,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_SSW,5,0.3328,0.39176,0.05895999999999999,0.040254229591435486,0.012199999999999989,0.1215,5,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_SSW,5,0.49646,0.5597000000000001,0.06324000000000003,0.0432740453389789,0.013600000000000056,0.13190000000000007,5,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_UPL,5,0.76746,0.7733599999999999,0.005899999999999994,0.038328709866104316,-0.03290000000000004,0.05520000000000003,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_UPL,5,0.8673,0.87178,0.004479999999999973,0.02504300301481436,-0.021300000000000097,0.0363,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_FSW_as_UPL,5,0.19393065201622142,0.1480691877656323,-0.04586146425058911,0.040762537062388804,-0.08266018010557913,0.020382618561193055,4,False,True
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_UPL_as_FSW,5,0.09812646382558048,0.10918605498529783,0.011059591159717344,0.028870032228037478,-0.03702641068461972,0.039088458342965884,1,False,True
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_FSW_UPL_swap,5,0.11868700483006067,0.11810554983939561,-0.0005814549906650729,0.012369375650008544,-0.019924236347817245,0.01007896744966559,2,False,True
