config,mode,seed,macro_f1_unet,mean_iou_unet,overall_accuracy_unet,iou_EMW_unet,f1_EMW_unet,iou_FSW_unet,f1_FSW_unet,iou_SSW_unet,f1_SSW_unet,iou_UPL_unet,f1_UPL_unet,conf_FSW_as_UPL_unet,conf_UPL_as_FSW_unet,conf_FSW_UPL_swap_unet,macro_f1_unet3plus,mean_iou_unet3plus,overall_accuracy_unet3plus,iou_EMW_unet3plus,f1_EMW_unet3plus,iou_FSW_unet3plus,f1_FSW_unet3plus,iou_SSW_unet3plus,f1_SSW_unet3plus,iou_UPL_unet3plus,f1_UPL_unet3plus,conf_FSW_as_UPL_unet3plus,conf_UPL_as_FSW_unet3plus,conf_FSW_UPL_swap_unet3plus,delta_macro_f1,delta_mean_iou,delta_overall_accuracy,delta_iou_EMW,delta_f1_EMW,delta_iou_FSW,delta_f1_FSW,delta_iou_SSW,delta_f1_SSW,delta_iou_UPL,delta_f1_UPL,delta_conf_FSW_as_UPL,delta_conf_UPL_as_FSW,delta_conf_FSW_UPL_swap
fld_chmret_leafoff,multiclass,0,0.6705,0.5229,0.7669,0.5027,0.669,0.5175,0.682,0.2973,0.4584,0.7741,0.8726,0.1764744850429562,0.0731436997204452,0.0977647017621052,0.6805,0.5255,0.7537,0.458,0.6282,0.484,0.6523,0.4188,0.5903,0.7412,0.8513,0.09381430493737708,0.11223215806341108,0.10784366921177078,0.010000000000000009,0.0025999999999999357,-0.01319999999999999,-0.04470000000000002,-0.04080000000000006,-0.033499999999999974,-0.02970000000000006,0.1215,0.13190000000000007,-0.03290000000000004,-0.021300000000000097,-0.08266018010557913,0.039088458342965884,0.01007896744966559
fld_chmret_leafoff,multiclass,1,0.6729,0.5177,0.7453,0.3822,0.553,0.544,0.7047,0.4266,0.5981,0.718,0.8358,0.17987210422395875,0.1198301786147726,0.13771669390296692,0.6771,0.5311,0.7788,0.2978,0.4589,0.5722,0.7279,0.481,0.6496,0.7732,0.8721,0.2002547227851518,0.08280376793015289,0.11779245755514968,0.0041999999999999815,0.013399999999999967,0.033500000000000085,-0.08439999999999998,-0.09410000000000007,0.028200000000000003,0.0232,0.054400000000000004,0.05149999999999999,0.05520000000000003,0.0363,0.020382618561193055,-0.03702641068461972,-0.019924236347817245
fld_chmret_leafoff,multiclass,2,0.6013,0.4477,0.6994,0.2552,0.4067,0.4873,0.6553,0.3555,0.5245,0.6929,0.8186,0.15802584673253808,0.11966182762277398,0.13039073177865543,0.6544,0.5009,0.739,0.3239,0.4893,0.5285,0.6916,0.4211,0.5927,0.7301,0.844,0.09597922134288175,0.136093026657403,0.12487477626200452,0.053100000000000036,0.053200000000000025,0.03959999999999997,0.06870000000000004,0.0826,0.04119999999999996,0.0363,0.06559999999999999,0.06820000000000004,0.03720000000000001,0.025399999999999978,-0.06204662538965633,0.016431199034629015,-0.0055159555166509056
fld_chmret_leafoff,multiclass,3,0.6778,0.5332,0.8373,0.4805,0.6491,0.4802,0.6489,0.3347,0.5015,0.8374,0.9115,0.30132715610159755,0.06000785428802889,0.10422580235099317,0.6595,0.5122,0.8203,0.3895,0.5606,0.4968,0.6638,0.3469,0.5151,0.8158,0.8986,0.23219170501083125,0.08545817148213548,0.11234477241254759,-0.018299999999999983,-0.02100000000000002,-0.017000000000000015,-0.09099999999999997,-0.08850000000000002,0.016600000000000004,0.014899999999999913,0.012199999999999989,0.013600000000000056,-0.021600000000000064,-0.012900000000000023,-0.0691354510907663,0.025450317194106592,0.008118970061554417
fld_chmret_leafoff,multiclass,4,0.6262,0.4823,0.7994,0.4331,0.6044,0.4314,0.6027,0.2499,0.3998,0.8149,0.898,0.15395366798005652,0.1179887588818817,0.12333709435558265,0.6429,0.4958,0.7981,0.4458,0.6167,0.4399,0.611,0.291,0.4508,0.8065,0.8929,0.11810598475191968,0.12934315079338665,0.12767207375550543,0.016700000000000048,0.013500000000000012,-0.0012999999999999678,0.012699999999999989,0.012299999999999978,0.008500000000000008,0.008299999999999974,0.04109999999999997,0.05099999999999999,-0.008399999999999963,-0.005099999999999993,-0.03584768322813685,0.011354391911504946,0.004334979399922778
fld_chmret_leafoff,multiclass,mean,0.6497399999999999,0.50076,0.7696599999999999,0.41073999999999994,0.5764400000000001,0.4920800000000001,0.65872,0.3328,0.49646,0.76746,0.8673,0.19393065201622142,0.09812646382558048,0.11868700483006067,0.66288,0.5131,0.77798,0.383,0.55074,0.5042800000000001,0.6693199999999999,0.39176,0.5597000000000001,0.7733599999999999,0.87178,0.1480691877656323,0.10918605498529783,0.11810554983939561,0.013140000000000018,0.012339999999999985,0.008320000000000017,-0.027739999999999987,-0.025700000000000035,0.012199999999999999,0.010599999999999965,0.05895999999999999,0.06324000000000003,0.005899999999999994,0.004479999999999973,-0.04586146425058911,0.011059591159717344,-0.0005814549906650729
