,EMW,FSW,SSW,UPL
EMW,271290.3333333333,14267.333333333334,66129.0,33847.0
FSW,15661.333333333334,750819.3333333334,51500.333333333336,163214.66666666666
SSW,64979.333333333336,36948.333333333336,165630.0,20399.333333333332
UPL,53407.333333333336,253409.66666666666,31151.666666666668,3512369.0
