,EMW,FSW,SSW,UPL
EMW,293057.0,10252.0,46304.333333333336,35920.333333333336
FSW,23078.0,743418.3333333334,67265.66666666667,147433.66666666666
SSW,89102.33333333333,32888.666666666664,151478.33333333334,14487.666666666666
UPL,80015.33333333333,290107.3333333333,30333.666666666668,3449881.3333333335
