,EMW,FSW,SSW,UPL
EMW,244605.33333333334,27033.333333333332,76641.0,37254.0
FSW,24672.666666666668,693679.6666666666,85878.33333333333,176965.0
SSW,85736.66666666667,35120.333333333336,143840.66666666666,23259.333333333332
UPL,71297.33333333333,243726.33333333334,30081.333333333332,3505232.6666666665
