,EMW,FSW,SSW,UPL
EMW,284692.0,12423.666666666666,64631.333333333336,23786.666666666668
FSW,20804.333333333332,746749.0,55755.0,157887.33333333334
SSW,76753.33333333333,35832.666666666664,159998.33333333334,15372.666666666666
UPL,64704.0,257613.66666666666,32390.0,3495630.0
