,EMW,FSW,SSW,UPL
EMW,223099.0,26882.333333333332,76441.0,59111.333333333336
FSW,21641.666666666668,738355.0,66558.33333333333,154640.66666666666
SSW,70200.0,50279.0,148884.33333333334,18593.666666666668
UPL,71611.0,297151.6666666667,34947.666666666664,3446627.3333333335
