,EMW,FSW,SSW,UPL
EMW,159343.33333333334,27140.0,139813.0,59237.333333333336
FSW,29230.666666666668,525978.6666666666,151003.33333333334,274983.0
SSW,47215.333333333336,50053.0,152194.33333333334,38494.333333333336
UPL,56295.666666666664,208838.33333333334,84502.66666666667,3500701.0
