,EMW,FSW,SSW,UPL
EMW,247406.66666666666,17043.666666666668,84249.66666666667,36833.666666666664
FSW,16533.333333333332,744940.0,60441.333333333336,159281.0
SSW,74901.66666666667,38080.333333333336,153189.0,21786.0
UPL,47530.666666666664,268593.6666666667,28631.666666666668,3505581.6666666665
