,EMW,FSW,SSW,UPL
EMW,255024.33333333334,19116.333333333332,76701.33333333333,34691.666666666664
FSW,14809.666666666666,788432.3333333334,47539.333333333336,130414.33333333333
SSW,80841.33333333333,39236.666666666664,150641.33333333334,17237.666666666668
UPL,65539.66666666667,339570.6666666667,31148.666666666668,3414078.6666666665
