config,mode,seed,macro_f1_unet,mean_iou_unet,overall_accuracy_unet,iou_EMW_unet,f1_EMW_unet,iou_FSW_unet,f1_FSW_unet,iou_SSW_unet,f1_SSW_unet,iou_UPL_unet,f1_UPL_unet,conf_FSW_as_UPL_unet,conf_UPL_as_FSW_unet,conf_FSW_UPL_swap_unet,macro_f1_unet3plus,mean_iou_unet3plus,overall_accuracy_unet3plus,iou_EMW_unet3plus,f1_EMW_unet3plus,iou_FSW_unet3plus,f1_FSW_unet3plus,iou_SSW_unet3plus,f1_SSW_unet3plus,iou_UPL_unet3plus,f1_UPL_unet3plus,conf_FSW_as_UPL_unet3plus,conf_UPL_as_FSW_unet3plus,conf_FSW_UPL_swap_unet3plus,macro_f1_mbfusion,mean_iou_mbfusion,overall_accuracy_mbfusion,iou_EMW_mbfusion,f1_EMW_mbfusion,iou_FSW_mbfusion,f1_FSW_mbfusion,iou_SSW_mbfusion,f1_SSW_mbfusion,iou_UPL_mbfusion,f1_UPL_mbfusion,conf_FSW_as_UPL_mbfusion,conf_UPL_as_FSW_mbfusion,conf_FSW_UPL_swap_mbfusion,delta_macro_f1_unet3plus,delta_mean_iou_unet3plus,delta_overall_accuracy_unet3plus,delta_iou_EMW_unet3plus,delta_f1_EMW_unet3plus,delta_iou_FSW_unet3plus,delta_f1_FSW_unet3plus,delta_iou_SSW_unet3plus,delta_f1_SSW_unet3plus,delta_iou_UPL_unet3plus,delta_f1_UPL_unet3plus,delta_conf_FSW_as_UPL_unet3plus,delta_conf_UPL_as_FSW_unet3plus,delta_conf_FSW_UPL_swap_unet3plus,delta_macro_f1_mbfusion,delta_mean_iou_mbfusion,delta_overall_accuracy_mbfusion,delta_iou_EMW_mbfusion,delta_f1_EMW_mbfusion,delta_iou_FSW_mbfusion,delta_f1_FSW_mbfusion,delta_iou_SSW_mbfusion,delta_f1_SSW_mbfusion,delta_iou_UPL_mbfusion,delta_f1_UPL_mbfusion,delta_conf_FSW_as_UPL_mbfusion,delta_conf_UPL_as_FSW_mbfusion,delta_conf_FSW_UPL_swap_mbfusion
fld_chmret_leafoff,multiclass,0,0.599,0.4527,0.7512,0.4897,0.6574,0.2618,0.4149,0.2976,0.4587,0.7617,0.8647,0.3522547651442774,0.09996609011377308,0.13883572033457037,0.5969,0.4423,0.7282,0.4138,0.5854,0.3585,0.5278,0.2838,0.4421,0.713,0.8325,0.23961431717792375,0.145908896287281,0.16034590999494372,0.6548,0.5102,0.7933,0.554,0.713,0.2777,0.4347,0.4139,0.5854,0.7953,0.886,0.48870652509942486,0.07949562066225435,0.14254195651489476,-0.0020999999999999908,-0.010399999999999965,-0.02300000000000002,-0.07590000000000002,-0.07199999999999995,0.09670000000000001,0.11290000000000006,-0.013799999999999979,-0.016600000000000004,-0.04870000000000008,-0.032200000000000006,-0.11264044796635364,0.045942806173507905,0.021510189660373352,0.05580000000000007,0.057499999999999996,0.042100000000000026,0.06430000000000002,0.05559999999999998,0.015900000000000025,0.019799999999999984,0.11630000000000001,0.12670000000000003,0.03359999999999996,0.021299999999999986,0.13645175995514747,-0.02047046945151873,0.003706236180324396
fld_chmret_leafoff,multiclass,1,0.6434,0.497,0.8101,0.4373,0.6085,0.3753,0.5458,0.3428,0.5106,0.8326,0.9086,0.3593479420974138,0.07091301553368089,0.12069383935774387,0.6629,0.5141,0.8055,0.4099,0.5814,0.3999,0.5713,0.425,0.5965,0.8217,0.9021,0.2583713837389294,0.10226474294441923,0.1292071014019713,0.6682,0.524,0.8235,0.4863,0.6543,0.4231,0.5946,0.3389,0.5062,0.8478,0.9176,0.2766346949017169,0.07057704756397881,0.10614042250586293,0.019500000000000073,0.017100000000000004,-0.0046000000000000485,-0.027400000000000035,-0.027100000000000013,0.024599999999999955,0.025500000000000078,0.0822,0.08589999999999998,-0.01090000000000002,-0.00649999999999995,-0.10097655835848435,0.03135172741073834,0.008513262044227435,0.024800000000000044,0.027000000000000024,0.013399999999999967,0.04899999999999999,0.04579999999999995,0.047799999999999954,0.048800000000000066,-0.0039000000000000146,-0.0044000000000000705,0.015199999999999991,0.009000000000000008,-0.08271324719569689,-0.0003359679697020751,-0.01455341685188094
fld_chmret_leafoff,multiclass,2,0.6569,0.5148,0.814,0.5405,0.7017,0.4033,0.5748,0.2854,0.444,0.8301,0.9071,0.24172917221728,0.09850924712469868,0.11860210436474304,0.6472,0.5009,0.7908,0.5,0.6667,0.4172,0.5887,0.2851,0.4437,0.8013,0.8897,0.13793458479907156,0.12508260835474813,0.12688566004452714,0.6715,0.5287,0.8213,0.525,0.6885,0.4338,0.6051,0.3145,0.4785,0.8413,0.9138,0.182611640708612,0.09311619642542374,0.10567184595850392,-0.009700000000000042,-0.013900000000000023,-0.0232,-0.04049999999999998,-0.03500000000000003,0.013900000000000023,0.013900000000000023,-0.00029999999999996696,-0.00030000000000002247,-0.028799999999999937,-0.01739999999999997,-0.10379458741820843,0.026573361230049455,0.008283555679784102,0.014599999999999946,0.013899999999999912,0.007300000000000084,-0.015499999999999958,-0.01319999999999999,0.030500000000000027,0.030299999999999994,0.029100000000000015,0.034499999999999975,0.011200000000000099,0.006699999999999928,-0.059117531508668,-0.00539305069927494,-0.012930258406239126
fld_chmret_leafoff,multiclass,3,0.6155,0.4728,0.8008,0.4694,0.6389,0.3677,0.5377,0.241,0.3884,0.8131,0.8969,0.3788003915664424,0.047045146516973,0.09691356063040968,0.602,0.4642,0.7965,0.4871,0.6551,0.3988,0.5702,0.1733,0.2954,0.7976,0.8874,0.3575473682464021,0.05814576649735042,0.10315088181970676,0.6379,0.4915,0.8015,0.4611,0.6311,0.4191,0.5907,0.2801,0.4376,0.8056,0.8924,0.3075691249110867,0.0622058719654073,0.09908811117247848,-0.013500000000000068,-0.008599999999999997,-0.0042999999999999705,0.017699999999999994,0.016199999999999992,0.03109999999999996,0.032500000000000084,-0.06769999999999998,-0.09300000000000003,-0.01550000000000007,-0.009500000000000064,-0.02125302332004031,0.011100619980377417,0.006237321189297082,0.022399999999999975,0.018699999999999994,0.0007000000000000339,-0.008299999999999974,-0.007800000000000029,0.051399999999999946,0.05300000000000005,0.039100000000000024,0.049199999999999966,-0.007500000000000062,-0.0045000000000000595,-0.07123126665535573,0.015160725448434297,0.002174550542068804
fld_chmret_leafoff,multiclass,4,0.6105,0.4656,0.7961,0.3229,0.4881,0.3371,0.5042,0.3717,0.542,0.8309,0.9076,0.29700225302519756,0.0834732061775634,0.12080490114141638,0.6452,0.4964,0.7926,0.3807,0.5514,0.3559,0.525,0.4361,0.6074,0.8131,0.8969,0.2140970209803862,0.11899760207286314,0.13562401684082032,0.6555,0.5096,0.8172,0.4012,0.5726,0.368,0.538,0.4229,0.5944,0.8465,0.9169,0.27098668016450045,0.07630029339608022,0.1103376897679167,0.03469999999999995,0.030799999999999994,-0.0035000000000000586,0.05779999999999996,0.06330000000000002,0.018799999999999983,0.02080000000000004,0.06440000000000001,0.06540000000000001,-0.017799999999999927,-0.010699999999999932,-0.08290523204481137,0.03552439589529974,0.014819115699403931,0.04499999999999993,0.04400000000000004,0.021100000000000008,0.07829999999999998,0.08450000000000002,0.030899999999999983,0.03380000000000005,0.05120000000000002,0.0524,0.015600000000000058,0.009300000000000086,-0.02601557286069711,-0.007172912781483187,-0.01046721137349968
fld_chmret_leafoff,multiclass,mean,0.6250600000000001,0.48057999999999995,0.79444,0.45196000000000003,0.6189199999999999,0.34904,0.5154799999999999,0.3077,0.46874000000000005,0.81368,0.8969799999999999,0.3258269048101222,0.07998134109333781,0.11917002516577666,0.63084,0.48358,0.78272,0.4383,0.608,0.38605999999999996,0.5566,0.32066,0.47702,0.7893399999999999,0.88172,0.2415129349885426,0.1100799232313324,0.13104271402039386,0.65758,0.5128,0.81136,0.48552,0.6519,0.38434,0.5526200000000001,0.35406,0.52042,0.8272999999999999,0.90534,0.30530173315706816,0.07633900600262888,0.11275600518393136,0.005779999999999985,0.0030000000000000027,-0.011720000000000019,-0.013660000000000016,-0.010919999999999996,0.037019999999999983,0.04112000000000006,0.012960000000000017,0.008279999999999987,-0.024340000000000007,-0.015259999999999985,-0.08431396982157961,0.030098582137994573,0.01187268885461718,0.03251999999999999,0.03221999999999999,0.016920000000000025,0.03356000000000001,0.03297999999999999,0.035299999999999984,0.03714000000000003,0.04636000000000001,0.05167999999999998,0.01362000000000001,0.008359999999999989,-0.020525171653054054,-0.0036423350907089274,-0.006414019981845309
