config,mode,arch,baseline,metric,n_seeds,baseline_mean,arch_mean,delta_mean,delta_sd,delta_min,delta_max,n_better,sign_consistent,lower_is_better
fld_chmret_leafoff,multiclass,unet3plus,unet,macro_f1,5,0.6250600000000001,0.63084,0.005779999999999985,0.020603688990081383,-0.013500000000000068,0.03469999999999995,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,mean_iou,5,0.48057999999999995,0.48358,0.0030000000000000027,0.019820317858197933,-0.013900000000000023,0.030799999999999994,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,overall_accuracy,5,0.79444,0.78272,-0.011720000000000019,0.010396489792232752,-0.0232,-0.0035000000000000586,0,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_EMW,5,0.45196000000000003,0.4383,-0.013660000000000016,0.052136772051978815,-0.07590000000000002,0.05779999999999996,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_EMW,5,0.6189199999999999,0.608,-0.010919999999999996,0.052001221139507864,-0.07199999999999995,0.06330000000000002,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_FSW,5,0.34904,0.38605999999999996,0.037019999999999983,0.033976123969634925,0.013900000000000023,0.09670000000000001,5,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_FSW,5,0.5154799999999999,0.5566,0.04112000000000006,0.04069547886436527,0.013900000000000023,0.11290000000000006,5,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_SSW,5,0.3077,0.32066,0.012960000000000017,0.060906099858716936,-0.06769999999999998,0.0822,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_SSW,5,0.46874000000000005,0.47702,0.008279999999999987,0.07112986011514433,-0.09300000000000003,0.08589999999999998,2,False,False
fld_chmret_leafoff,multiclass,unet3plus,unet,iou_UPL,5,0.81368,0.7893399999999999,-0.024340000000000007,0.015123260230519098,-0.04870000000000008,-0.01090000000000002,0,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,f1_UPL,5,0.8969799999999999,0.88172,-0.015259999999999985,0.01027438562640123,-0.032200000000000006,-0.00649999999999995,0,True,False
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_FSW_as_UPL,5,0.3258269048101222,0.2415129349885426,-0.08431396982157961,0.036872053097760676,-0.11264044796635364,-0.02125302332004031,5,True,True
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_UPL_as_FSW,5,0.07998134109333781,0.1100799232313324,0.030098582137994573,0.012800380969752103,0.011100619980377417,0.045942806173507905,0,True,True
fld_chmret_leafoff,multiclass,unet3plus,unet,conf_FSW_UPL_swap,5,0.11917002516577666,0.13104271402039386,0.01187268885461718,0.006274708102713205,0.006237321189297082,0.021510189660373352,0,True,True
fld_chmret_leafoff,multiclass,mbfusion,unet,macro_f1,5,0.6250600000000001,0.65758,0.03251999999999999,0.017181734487530673,0.014599999999999946,0.05580000000000007,5,True,False
fld_chmret_leafoff,multiclass,mbfusion,unet,mean_iou,5,0.48057999999999995,0.5128,0.03221999999999999,0.018190024738850712,0.013899999999999912,0.057499999999999996,5,True,False
fld_chmret_leafoff,multiclass,mbfusion,unet,overall_accuracy,5,0.79444,0.81136,0.016920000000000025,0.0159650242718262,0.0007000000000000339,0.042100000000000026,5,True,False
fld_chmret_leafoff,multiclass,mbfusion,unet,iou_EMW,5,0.45196000000000003,0.48552,0.03356000000000001,0.04284901399098932,-0.015499999999999958,0.07829999999999998,3,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,f1_EMW,5,0.6189199999999999,0.6519,0.03297999999999999,0.04220760594963899,-0.01319999999999999,0.08450000000000002,3,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,iou_FSW,5,0.34904,0.38434,0.035299999999999984,0.014441433446856963,0.015900000000000025,0.051399999999999946,5,True,False
fld_chmret_leafoff,multiclass,mbfusion,unet,f1_FSW,5,0.5154799999999999,0.5526200000000001,0.03714000000000003,0.01365752539810931,0.019799999999999984,0.05300000000000005,5,True,False
fld_chmret_leafoff,multiclass,mbfusion,unet,iou_SSW,5,0.3077,0.35406,0.04636000000000001,0.04413533731603284,-0.0039000000000000146,0.11630000000000001,4,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,f1_SSW,5,0.46874000000000005,0.52042,0.05167999999999998,0.04763084084918094,-0.0044000000000000705,0.12670000000000003,4,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,iou_UPL,5,0.81368,0.8272999999999999,0.01362000000000001,0.014641789508116836,-0.007500000000000062,0.03359999999999996,4,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,f1_UPL,5,0.8969799999999999,0.90534,0.008359999999999989,0.009177036558715476,-0.0045000000000000595,0.021299999999999986,4,False,False
fld_chmret_leafoff,multiclass,mbfusion,unet,conf_FSW_as_UPL,5,0.3258269048101222,0.30530173315706816,-0.020525171653054054,0.09027698573259406,-0.08271324719569689,0.13645175995514747,4,False,True
fld_chmret_leafoff,multiclass,mbfusion,unet,conf_UPL_as_FSW,5,0.07998134109333781,0.07633900600262888,-0.0036423350907089274,0.012876366327653323,-0.02047046945151873,0.015160725448434297,4,False,True
fld_chmret_leafoff,multiclass,mbfusion,unet,conf_FSW_UPL_swap,5,0.11917002516577666,0.11275600518393136,-0.006414019981845309,0.008679323612774407,-0.01455341685188094,0.003706236180324396,3,False,True
